Model,FU_Config,RPS,Avg CFU (kgCO2eq/FU),Std CFU,Avg EFU (kWh/FU),Std EFU,PUE,CI (kgCO2/kWh),Avg Energy Consumed (kWh),Avg Output Tokens,Avg Valid FU Tokens,Avg Emissions (kgCO2eq),CSV Files,TXT Files
TechxGenus/DeepSeek-V2-Lite-AWQ,strict,8,0.00000009030164164476,0.00000000112189875502,0.00000021000381777851,0.00000000260906687213,1.11,0.430000,0.007987,38293.40,38035.60,0.003434,output_0.csv;output_1.csv;output_2.csv;output_3.csv;output_4.csv,results_0.txt;results_1.txt;results_2.txt;results_3.txt;results_4.txt
TechxGenus/DeepSeek-V2-Lite-AWQ,normal,8,0.00000009030164164476,0.00000000112189875502,0.00000021000381777851,0.00000000260906687213,1.11,0.430000,0.007987,38293.40,38035.60,0.003434,output_0.csv;output_1.csv;output_2.csv;output_3.csv;output_4.csv,results_0.txt;results_1.txt;results_2.txt;results_3.txt;results_4.txt
TechxGenus/DeepSeek-V2-Lite-AWQ,strict,16,0.00000005069889662161,0.00000000078510308358,0.00000011790441074793,0.00000000182582112460,1.11,0.430000,0.004495,38122.80,38122.80,0.001933,output_5.csv;output_6.csv;output_7.csv;output_8.csv;output_9.csv,results_5.txt;results_6.txt;results_7.txt;results_8.txt;results_9.txt
TechxGenus/DeepSeek-V2-Lite-AWQ,normal,16,0.00000005069889662161,0.00000000078510308358,0.00000011790441074793,0.00000000182582112460,1.11,0.430000,0.004495,38122.80,38122.80,0.001933,output_5.csv;output_6.csv;output_7.csv;output_8.csv;output_9.csv,results_5.txt;results_6.txt;results_7.txt;results_8.txt;results_9.txt
TechxGenus/DeepSeek-V2-Lite-AWQ,strict,32,0.00000002825443704514,0.00000000022724243218,0.00000006570799312824,0.00000000052847077250,1.11,0.430000,0.002496,38154.60,37994.60,0.001073,output_10.csv;output_11.csv;output_12.csv;output_13.csv;output_14.csv,results_10.txt;results_11.txt;results_12.txt;results_13.txt;results_14.txt
TechxGenus/DeepSeek-V2-Lite-AWQ,normal,32,0.00000002813509004449,0.00000000013569273833,0.00000006543044196392,0.00000000031556450776,1.11,0.430000,0.002496,38154.60,38154.60,0.001073,output_10.csv;output_11.csv;output_12.csv;output_13.csv;output_14.csv,results_10.txt;results_11.txt;results_12.txt;results_13.txt;results_14.txt
TechxGenus/DeepSeek-V2-Lite-AWQ,strict,64,0.00000007250718285999,0.00000012735083584885,0.00000016862135548835,0.00000029616473453221,1.11,0.430000,0.001889,38571.80,31965.20,0.000812,output_15.csv;output_16.csv;output_17.csv;output_18.csv;output_19.csv,results_15.txt;results_16.txt;results_17.txt;results_18.txt;results_19.txt
TechxGenus/DeepSeek-V2-Lite-AWQ,normal,64,0.00000006492096882731,0.00000011038754863816,0.00000015097899727281,0.00000025671522939108,1.11,0.430000,0.001889,38571.80,32125.20,0.000812,output_15.csv;output_16.csv;output_17.csv;output_18.csv;output_19.csv,results_15.txt;results_16.txt;results_17.txt;results_18.txt;results_19.txt
TechxGenus/DeepSeek-V2-Lite-AWQ,strict,128,0.00000000936599621997,0.00000000012343967741,0.00000002178138655807,0.00000000028706901723,1.11,0.430000,0.000840,38583.80,38582.60,0.000361,output_20.csv;output_21.csv;output_22.csv;output_23.csv;output_24.csv,results_20.txt;results_21.txt;results_22.txt;results_23.txt;results_24.txt
TechxGenus/DeepSeek-V2-Lite-AWQ,normal,128,0.00000000936570362013,0.00000000012328706124,0.00000002178070609334,0.00000000028671409590,1.11,0.430000,0.000840,38583.80,38583.80,0.000361,output_20.csv;output_21.csv;output_22.csv;output_23.csv;output_24.csv,results_20.txt;results_21.txt;results_22.txt;results_23.txt;results_24.txt
